NACA 4412
1.00000000	0.00000000
0.99865326	0.00042116
0.99412159	0.00167718
0.98659598	0.00374390
0.97611721	0.00658221
0.96274243	0.01013904
0.94654516	0.01434894
0.92761525	0.01913585
0.90605876	0.02441509
0.88199772	0.03009534
0.85556978	0.03608061
0.82692770	0.04227197
0.79623871	0.04856918
0.76368378	0.05487201
0.72945666	0.06108137
0.69376295	0.06710028
0.65681899	0.07283461
0.61885069	0.07819396
0.58009231	0.08309233
0.54078516	0.08744912
0.50117616	0.09119013
0.46151638	0.09424880
0.42205940	0.09656759
0.38278728	0.09805936
0.34386844	0.09838034
0.30592089	0.09746949
0.26921217	0.09535966
0.23400186	0.09210818
0.20053831	0.08779576
0.16905552	0.08252446
0.13977033	0.07641482
0.11287998	0.06960221
0.08856023	0.06223234
0.06696407	0.05445628
0.04822094	0.04642510
0.03243660	0.03828436
0.01969341	0.03016863
0.01005093	0.02219654
0.00354682	0.01446619
0.00019770	0.00705160
0.00000000	0.00000000
0.00288497	-0.00643290
0.00876484	-0.01201629
0.01757915	-0.01675655
0.02925008	-0.02066744
0.04368387	-0.02377051
0.06077254	-0.02609568
0.08039577	-0.02768190
0.10242277	-0.02857773
0.12671405	-0.02884179
0.15312289	-0.02854281
0.18149643	-0.02775936
0.21167644	-0.02657903
0.24349957	-0.02509699
0.27679733	-0.02341408
0.31139568	-0.02163430
0.34711456	-0.01986187
0.38376735	-0.01819796
0.42150614	-0.01667372
0.46002452	-0.01507134
0.49882384	-0.01341529
0.53767394	-0.01176075
0.57634215	-0.01015510
0.61459468	-0.00863677
0.65219801	-0.00723474
0.68892048	-0.00596854
0.72453384	-0.00484883
0.75881479	-0.00387832
0.79154654	-0.00305313
0.82252035	-0.00236425
0.85153700	-0.00179913
0.87840824	-0.00134314
0.90295823	-0.00098092
0.92502491	-0.00069749
0.94446136	-0.00047906
0.96113710	-0.00031356
0.97493930	-0.00019096
0.98577394	-0.00010333
0.99356675	-0.00004474
0.99826408	-0.00001115
1.00000000	0.00000000
