DHTMU 8-40-2-10-3-70-20-1.5
1.00000000	0.00000000
0.99845867	0.00030827
0.99384417	0.00123112
0.98618496	0.00276252
0.97552826	0.00489163
0.96193977	0.00760184
0.94550326	0.01086938
0.92632008	0.01466191
0.90450850	0.01893705
0.88020298	0.02364102
0.85355339	0.02870770
0.82472402	0.03405802
0.79389263	0.03960009
0.76124928	0.04522991
0.72699525	0.05083290
0.69134172	0.05628613
0.65450850	0.06146138
0.61672268	0.06622879
0.57821723	0.07046110
0.53922955	0.07403818
0.50000000	0.07685185
0.46077045	0.07881054
0.42178277	0.07984375
0.38327732	0.07990683
0.34549150	0.07901012
0.30865828	0.07721636
0.27300475	0.07460212
0.23875072	0.07125274
0.20610737	0.06725926
0.17527598	0.06271562
0.14644661	0.05771605
0.11979702	0.05235279
0.09549150	0.04671415
0.07367992	0.04088287
0.05449674	0.03493489
0.03806023	0.02893840
0.02447174	0.02295309
0.01381504	0.01702974
0.00615583	0.01120991
0.00154133	0.00552577
0.00000000	0.00000000
0.00154133	-0.00504704
0.00615583	-0.00930197
0.01381504	-0.01276544
0.02447174	-0.01545216
0.03806023	-0.01740216
0.05449674	-0.01869513
0.07367992	-0.01946662
0.09549150	-0.01992443
0.11979702	-0.02032995
0.14644661	-0.02077411
0.17527598	-0.02125460
0.20610737	-0.02176846
0.23875072	-0.02231251
0.27300475	-0.02288341
0.30865828	-0.02347764
0.34549150	-0.02409153
0.38327732	-0.02472129
0.42178277	-0.02536305
0.46077045	-0.02601284
0.50000000	-0.02666667
0.53922955	-0.02732049
0.57821723	-0.02797029
0.61672268	-0.02861204
0.65450850	-0.02924181
0.69134172	-0.02985570
0.72699525	-0.03042442
0.76124928	-0.03072296
0.79389263	-0.03049188
0.82472402	-0.02956364
0.85355339	-0.02786588
0.88020298	-0.02541778
0.90450850	-0.02232085
0.92632008	-0.01874496
0.94550326	-0.01491051
0.96193977	-0.01106820
0.97552826	-0.00747757
0.98618496	-0.00438577
0.99384417	-0.00200804
0.99845867	-0.00051101
1.00000000	0.00000000
