NACA 6409
1.00000000	0.00000000
0.99867524	0.00046810
0.99415298	0.00186368
0.98664261	0.00415911
0.97618426	0.00730946
0.96283422	0.01125359
0.94666493	0.01591574
0.92776501	0.02120751
0.90623917	0.02703000
0.88220800	0.03327611
0.85580770	0.03983286
0.82718959	0.04658367
0.79651952	0.05341050
0.76397719	0.06019585
0.72975529	0.06682461
0.69405853	0.07318569
0.65710264	0.07917355
0.61911323	0.08468957
0.58032463	0.08964338
0.54097856	0.09395418
0.50132277	0.09755193
0.46160953	0.10037868
0.42209397	0.10238974
0.38272605	0.10349408
0.34366641	0.10321110
0.30558272	0.10148277
0.26874877	0.09838691
0.23342969	0.09403153
0.19987832	0.08855196
0.16833187	0.08210699
0.13900897	0.07487420
0.11210732	0.06704456
0.08780195	0.05881639
0.06624414	0.05038917
0.04756096	0.04195712
0.03185543	0.03370293
0.01920700	0.02579188
0.00967246	0.01836654
0.00328687	0.01154216
0.00006457	0.00540304
0.00000000	0.00000000
0.00301810	-0.00447729
0.00902479	-0.00787176
0.01795762	-0.01021298
0.02973648	-0.01154823
0.04426504	-0.01194173
0.06143251	-0.01147365
0.08111570	-0.01023899
0.10318105	-0.00834621
0.12748671	-0.00591559
0.15388425	-0.00307741
0.18222008	0.00003022
0.21233642	0.00326383
0.24407174	0.00647733
0.27726073	0.00952513
0.31173385	0.01226545
0.34731660	0.01456390
0.38382858	0.01629721
0.42147156	0.01745152
0.45993138	0.01838875
0.49867723	0.01911228
0.53748053	0.01958096
0.57610983	0.01976558
0.61433213	0.01964976
0.65191436	0.01923012
0.68862491	0.01851594
0.72423521	0.01752831
0.75852137	0.01629875
0.79126574	0.01486750
0.82225846	0.01328159
0.85129908	0.01159273
0.87819796	0.00985521
0.90277783	0.00812385
0.92487515	0.00645221
0.94434160	0.00489084
0.96104531	0.00348599
0.97487225	0.00227840
0.98572731	0.00130244
0.99353536	0.00058544
0.99824209	0.00014724
1.00000000	0.00000000
